"year","month","weighted_mean_sst","mean_sst","median_sst","sd_sst","max_sst","min_sst","mean_sst_lag2","mean_sst_lag3","mean_sst_lag4","mean_dpth","mean_bt","min_bt","max_bt","sd_bt","mean_bs","min_bs","max_bs","sd_bs","mean_tri","mean_sed","total_cpue","gsi","gsi_lag3","gsi_lag4","weighted_mean_micro","micro_lag3","micro_lag4"
2000,2,9.8938051129059,10.063524960617,10.0699996948242,2.10272860634889,17.2825012207031,5.01998901367188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5139478846,-0.6273204386,-0.2574299972,0.25917421408444,NA,NA
2000,3,9.22413236043677,9.43775351414807,9.22186851501465,1.59706577043986,12.8772230148315,6.68076515197754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549932055,-0.7130287724,0.500840899,0.393990126891437,NA,NA
2000,4,9.30340465195563,9.45121612614776,9.15904235839844,1.19028222059814,13.7700004577637,7.03333282470703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4702831369,0.1828647144,0.2995596913,0.880758991388512,NA,NA
2000,5,12.4692936437944,12.5450734042498,12.6629538536072,0.974608484184496,15.400279045105,10.0463161468506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.133615498,-0.3714846773,-0.592620305,0.537873879811699,NA,NA
2000,6,16.8306624176427,17.0126287665131,16.8150014877319,1.70342767486251,21.2033386230469,13.1360006332397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5863498241,-0.6551904669,-0.4606093758,0.257849150808837,NA,NA
2000,7,20.4597707953953,20.6704444009617,20.618124961853,1.99162742433582,24.1336822509766,16.4832172393799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4050575738,-0.6338588996,-0.4127640529,0.141937580815258,NA,NA
2000,8,22.6771849788895,22.7407043580133,22.8139991760254,1.04033366997069,25.0483341217041,18.3399963378906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.223774945,-0.149481649,-0.09744899718,0.0985128762988849,NA,NA
2000,9,21.3319447293474,21.3781539848846,22.0515537261963,1.46975531916502,23.0782318115234,17.4613285064697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5903665325,0.4094353401,-0.480791971,0.118255639014964,NA,NA
2000,10,17.4823998231656,17.5349272461612,17.8518915176392,1.40546400854432,20.7053546905518,14.3461751937866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.377035709,-1.23510515,-0.8760637503,0.245022509599793,NA,NA
2000,11,13.4665572570307,13.582406822187,13.7289519309998,1.35191982672714,17.5500030517578,10.8399963378906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.197445588,-0.9119398164,-0.758745437,0.37266109353746,NA,NA
